# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
439 257.745249 149.883717 1.197807 30.178808 1.21619e-05
440 347.186481 140.877365 1.485780 22.085768 1.14053e-05
441 210.225819 32.375723 0.864400 8.755025 1.29237e-05
442 372.946869 5.215925 1.479517 0.801270 1.14213e-05
443 252.631096 177.091279 1.237427 35.029981 1.20618e-05
444 126.761311 32.386867 0.535786 14.332172 1.35239e-05
445 252.130841 68.542685 1.055324 15.208518 1.2504e-05
446 353.204539 186.144020 1.575869 27.789894 1.1152e-05
447 394.527267 59.422453 1.574864 8.565327 1.11557e-05
448 205.041011 41.432453 0.850439 11.423878 1.2953e-05
449 131.913622 5.209278 0.540584 2.261439 1.35166e-05
450 278.090661 23.276350 1.124310 4.784538 1.23414e-05
451 116.473973 68.707808 0.553609 30.536286 1.34961e-05
452 152.937804 59.609147 0.670382 21.293882 1.32992e-05
453 368.111242 104.654859 1.515312 15.870571 1.13235e-05
454 95.529981 50.609221 0.443388 27.913443 1.36612e-05
455 199.733238 14.257720 0.814884 4.083065 1.30236e-05
456 236.673163 113.758768 1.060431 25.671623 1.24921e-05
457 330.759284 59.412071 1.341780 10.183066 1.1794e-05
458 357.813623 140.874800 1.522099 21.490056 1.13049e-05
