NIGHT,EXPID,CAMERA,AMP,RDNOISE,GAIN
20220608,138591,z6,A,2.18327028354741,1.387
20220608,138591,z6,B,2.294102229832358,1.518
20220608,138591,z6,C,2.385425101504348,1.534
20220608,138591,z6,D,2.433670156796438,1.554
20220608,138591,b7,A,3.337285510483662,1.117
20220608,138591,b7,B,2.833804256196259,1.117
20220608,138591,b7,C,3.361775431957399,1.127
20220608,138591,b7,D,2.911553983932579,1.128
20220608,138591,r7,A,2.603013500928299,1.666
20220608,138591,r7,B,2.521462778840323,1.67
20220608,138591,r7,C,2.20705843489692,1.444
20220608,138591,r7,D,2.2734596601423,1.505
20220608,138591,z7,A,2.371493745768786,1.533
20220608,138591,z7,B,2.405680835243475,1.53
20220608,138591,z7,C,2.665984302773914,1.667
20220608,138591,z7,D,2.514840948300005,1.547
20220608,138591,b8,A,3.629565418665502,1.091
20220608,138591,b8,B,2.922696547396738,1.121
20220608,138591,b8,C,3.163143534156619,1.141
20220608,138591,b8,D,3.030753499651667,1.135
20220608,138591,r8,A,2.650871526190647,1.627
20220608,138591,r8,B,2.232036178041646,1.482
20220608,138591,r8,C,2.603977405741051,1.581
20220608,138591,r8,D,2.58541673753622,1.589
20220608,138591,z8,A,2.501129824907079,1.466
20220608,138591,z8,B,2.224310190640211,1.498
20220608,138591,z8,C,2.621512739433095,1.655
20220608,138591,z8,D,2.576679064594231,1.658
20220608,138591,b9,A,3.45833538766308,1.106
20220608,138591,b9,B,2.749913110619624,1.083
20220608,138591,b9,C,2.970623377176749,1.115
20220608,138591,b9,D,3.066368903430612,1.12
20220608,138591,r9,A,2.645324052667489,1.591
20220608,138591,r9,B,2.177180939479285,1.412
20220608,138591,r9,C,2.913983131897841,1.543
20220608,138591,r9,D,2.144689221299906,1.406
20220608,138591,z9,A,2.31844054222834,1.436
